user_id,timestamp,event_type,duration_seconds
u0166,2026-02-28T10:29:30,click,46
u0027,2026-02-09T22:48:02,click,388
u0037,2026-03-18T17:19:57,click,131
u0091,2026-03-02T01:46:26,login,117
u0165,2026-04-16T01:56:21,login,84
u0095,2026-03-24T14:15:27,login,88
u0135,2026-04-18T04:12:44,click,118
u0024,2026-03-03T11:34:42,click,31
u0159,2026-01-23T05:04:50,view,142
u0140,2026-04-13T09:02:49,click,89
u0073,2026-02-10T11:15:55,login,62
u0188,2026-02-13T13:07:59,login,115
u0093,2026-03-16T08:22:52,click,49
u0147,2026-01-14T18:39:44,view,31
u0098,2026-01-11T18:25:18,click,5
u0078,2026-03-08T00:17:50,view,42
u0139,2026-04-04T07:10:18,click,18
u0030,2026-02-19T20:50:13,click,12
u0192,2026-02-25T03:10:40,click,48
u0121,2026-02-19T21:22:52,view,237
u0081,2026-03-05T23:59:17,click,22
u0133,2026-04-06T10:54:37,click,159
u0023,2026-03-03T08:17:09,click,13
u0159,2026-03-08T00:25:29,view,244
u0040,2026-04-10T11:39:35,purchase,21
u0162,2026-01-09T06:03:03,login,34
u0187,2026-01-16T23:12:58,click,32
u0173,2026-03-30T02:57:30,click,87
u0161,2026-03-16T21:26:37,purchase,11
u0063,2026-03-03T18:33:00,click,30
u0013,2026-04-16T05:14:49,click,18
u0091,2026-03-01T05:29:09,view,30
u0001,2026-01-18T10:49:22,login,36
u0095,2026-04-03T19:16:32,login,23
u0114,2026-02-14T03:48:58,click,297
u0069,2026-01-23T22:06:18,click,125
u0114,2026-01-23T05:36:59,purchase,184
u0114,2026-04-11T03:52:33,click,62
u0178,2026-03-22T01:31:33,click,80
u0091,2026-01-19T10:41:04,view,179
u0172,2026-04-09T09:52:41,purchase,8
u0089,2026-03-03T22:33:49,view,87
u0152,2026-02-14T18:25:29,purchase,24
u0159,2026-02-17T15:00:44,click,193
u0105,2026-02-26T11:24:34,click,8
u0064,2026-04-16T01:08:14,click,34
u0032,2026-04-30T19:55:15,click,70
u0069,2026-02-26T17:54:52,view,68
u0175,2026-01-27T09:45:38,view,612
u0166,2026-02-23T02:34:52,click,184
u0085,2026-03-28T00:24:18,view,58
u0089,2026-02-13T02:05:56,login,42
u0173,2026-01-06T07:58:07,view,13
u0173,2026-03-19T04:03:30,purchase,216
u0124,2026-04-21T00:30:29,purchase,69
u0167,2026-04-12T03:57:09,view,94
u0080,2026-04-03T05:38:43,view,346
u0067,2026-02-28T06:58:20,view,100
u0171,2026-04-22T22:58:09,purchase,16
u0118,2026-01-19T12:34:24,purchase,273
u0133,2026-04-10T13:03:00,purchase,140
u0186,2026-02-26T11:20:45,purchase,50
u0110,2026-03-13T19:40:19,view,150
u0133,2026-02-06T02:07:01,click,64
u0059,2026-02-13T13:49:02,click,7
u0157,2026-04-14T11:41:30,click,106
u0049,2026-01-29T14:31:19,login,16
u0135,2026-02-28T13:53:55,view,26
u0060,2026-02-03T15:45:44,login,50
u0009,2026-01-21T23:42:23,click,6
u0179,2026-01-28T13:59:16,purchase,51
u0073,2026-04-26T07:17:18,login,41
u0077,2026-01-09T10:25:57,click,119
u0009,2026-02-05T04:58:10,purchase,138
u0094,2026-01-20T12:36:24,purchase,15
u0137,2026-04-14T19:44:37,purchase,58
u0179,2026-03-21T22:25:18,login,82
u0074,2026-02-04T15:07:00,view,16
u0100,2026-01-03T17:53:58,view,155
u0183,2026-03-30T04:43:27,purchase,113
u0103,2026-02-06T05:14:19,click,195
u0155,2026-04-19T10:26:44,login,18
u0148,2026-03-06T21:21:41,view,18
u0098,2026-01-25T06:06:01,view,36
u0045,2026-02-27T10:06:53,view,39
u0055,2026-01-13T10:09:40,login,395
u0196,2026-04-02T04:16:30,login,13
u0003,2026-02-15T07:15:03,view,13
u0005,2026-01-17T03:38:09,purchase,35
u0103,2026-02-24T20:30:22,click,74
u0061,2026-03-14T18:10:03,click,293
u0047,2026-02-20T22:53:16,purchase,119
u0184,2026-04-12T06:18:37,click,23
u0005,2026-04-22T01:51:15,view,21
u0022,2026-01-11T10:20:06,click,25
u0157,2026-04-27T11:00:35,login,29
u0065,2026-04-19T12:58:22,view,94
u0175,2026-04-23T22:44:49,purchase,12
u0025,2026-01-13T06:05:40,login,10
u0063,2026-03-08T01:08:31,login,21
u0099,2026-04-07T02:06:29,login,31
u0111,2026-04-02T02:20:56,click,71
u0053,2026-04-20T05:26:28,view,28
u0057,2026-04-24T09:56:56,login,155
u0062,2026-01-24T11:39:27,login,52
u0012,2026-04-09T19:35:45,purchase,44
u0014,2026-04-14T23:32:18,view,13
u0055,2026-03-05T11:05:58,purchase,138
u0037,2026-03-07T22:50:27,purchase,23
u0065,2026-03-29T07:33:55,login,42
u0176,2026-02-25T13:40:41,view,99
u0173,2026-02-15T04:44:48,view,17
u0129,2026-02-18T07:58:40,login,67
u0196,2026-04-22T09:39:14,click,13
u0097,2026-03-02T18:55:29,login,23
u0061,2026-01-27T17:03:01,view,54
u0027,2026-02-09T19:47:01,view,61
u0196,2026-03-16T11:40:58,click,97
u0159,2026-03-21T03:05:30,click,207
u0151,2026-03-08T23:22:38,login,60
u0002,2026-02-14T12:40:43,purchase,26
u0170,2026-03-11T07:24:25,click,447
u0005,2026-01-13T21:06:19,click,11
u0134,2026-02-22T06:33:24,view,9
u0163,2026-03-07T16:23:33,view,97
u0096,2026-01-21T10:26:40,click,21
u0133,2026-01-10T15:52:13,login,56
u0195,2026-02-04T02:15:33,login,75
u0028,2026-03-19T09:47:09,view,91
u0085,2026-03-01T07:21:57,purchase,19
u0138,2026-04-24T23:52:32,login,106
u0035,2026-02-14T00:50:11,purchase,80
u0028,2026-02-09T07:51:55,purchase,29
u0092,2026-01-12T14:56:16,login,44
u0116,2026-02-17T15:19:05,purchase,63
u0123,2026-04-06T21:55:33,login,26
u0150,2026-04-13T10:59:39,purchase,38
u0004,2026-02-07T11:52:58,login,75
u0034,2026-04-03T07:52:24,login,34
u0008,2026-02-15T18:16:28,view,23
u0048,2026-03-16T19:04:25,purchase,4
u0168,2026-01-16T22:34:53,login,88
u0135,2026-04-29T16:15:00,click,86
u0011,2026-01-05T10:48:35,purchase,21
u0058,2026-03-24T13:46:07,purchase,4
u0196,2026-02-01T20:42:38,view,47
u0117,2026-02-17T06:07:35,view,9
u0168,2026-02-06T00:59:47,purchase,31
u0007,2026-01-20T05:26:06,login,42
u0126,2026-03-26T09:03:03,click,199
u0159,2026-01-04T07:55:50,click,118
u0148,2026-01-12T01:04:44,purchase,292
u0047,2026-03-16T17:09:38,login,219
u0079,2026-04-17T05:03:28,click,44
u0143,2026-04-21T09:54:12,login,30
u0161,2026-02-27T15:04:11,click,37
u0111,2026-01-08T00:47:44,purchase,29
u0074,2026-04-22T03:07:19,click,94
u0090,2026-01-04T20:15:52,view,26
u0193,2026-01-15T22:09:06,click,79
u0171,2026-04-30T13:05:44,purchase,20
u0059,2026-01-16T23:13:49,purchase,66
u0176,2026-01-10T00:25:23,click,102
u0025,2026-04-12T13:28:29,click,40
u0053,2026-02-25T18:56:14,login,40
u0031,2026-02-13T02:29:58,login,168
u0011,2026-02-17T14:43:49,purchase,91
u0056,2026-04-22T17:24:59,click,60
u0004,2026-03-22T04:26:35,login,3
u0011,2026-03-08T01:02:13,click,43
u0027,2026-02-28T21:58:10,click,162
u0041,2026-04-29T18:36:36,login,73
u0016,2026-04-06T01:45:46,click,234
u0006,2026-01-15T13:28:04,login,5
u0001,2026-04-20T16:48:17,login,63
u0064,2026-01-07T08:21:32,click,125
u0162,2026-01-05T06:43:37,login,96
u0079,2026-04-25T12:31:02,click,38
u0146,2026-01-15T02:16:29,purchase,22
u0025,2026-03-08T16:53:11,purchase,14
u0176,2026-04-22T05:11:53,click,25
u0081,2026-02-02T21:49:45,login,170
u0095,2026-02-03T13:19:52,purchase,14
u0069,2026-04-05T03:14:17,click,52
u0183,2026-03-06T00:26:02,login,17
u0103,2026-04-05T14:26:44,purchase,80
u0136,2026-02-06T21:11:58,view,33
u0189,2026-04-09T11:57:31,login,65
u0047,2026-01-22T12:03:46,purchase,20
u0133,2026-04-28T03:41:38,click,25
u0064,2026-03-26T06:59:24,purchase,187
u0067,2026-04-09T18:21:54,purchase,149
u0060,2026-03-03T19:15:42,view,224
u0058,2026-02-12T20:29:22,view,120
u0059,2026-04-29T04:03:53,view,163
u0164,2026-04-03T09:57:01,purchase,72
u0071,2026-03-16T08:45:29,click,18
u0190,2026-02-08T20:37:30,login,144
u0174,2026-03-18T19:00:03,login,589
u0179,2026-04-14T11:05:40,click,76
u0045,2026-03-04T11:02:57,click,33
u0092,2026-03-02T08:35:31,view,25
u0047,2026-01-24T01:11:18,click,14
u0028,2026-03-29T19:53:03,view,203
u0114,2026-02-01T14:00:54,click,14
u0033,2026-01-03T08:33:43,purchase,322
u0079,2026-03-03T14:21:03,view,74
u0013,2026-04-26T00:08:10,purchase,31
u0045,2026-02-08T10:38:21,purchase,70
u0146,2026-04-15T07:31:40,click,134
u0034,2026-03-20T17:39:45,login,81
u0145,2026-01-30T04:54:12,login,55
u0038,2026-04-04T01:43:47,purchase,39
u0104,2026-02-13T06:46:05,purchase,103
u0126,2026-01-02T15:45:09,purchase,34
u0158,2026-02-22T13:15:01,purchase,54
u0151,2026-04-02T21:18:38,click,78
u0116,2026-03-29T19:23:16,login,42
u0061,2026-04-15T20:17:21,purchase,183
u0060,2026-04-22T09:05:15,click,77
u0196,2026-04-17T18:35:19,login,91
u0004,2026-03-01T00:27:52,purchase,43
u0046,2026-04-21T16:12:13,click,39
u0190,2026-04-02T01:58:08,purchase,157
u0007,2026-01-05T08:59:30,login,32
u0007,2026-04-30T08:03:06,login,10
u0184,2026-03-04T06:20:18,purchase,98
u0011,2026-02-09T05:45:18,purchase,374
u0199,2026-02-14T09:48:54,purchase,92
u0144,2026-03-15T08:01:19,purchase,134
u0047,2026-03-21T08:56:49,click,44
u0037,2026-02-14T12:50:22,view,261
u0055,2026-03-31T22:30:11,purchase,26
u0119,2026-02-21T07:20:47,login,297
u0075,2026-03-10T20:10:59,view,64
u0151,2026-04-22T04:34:54,view,356
u0183,2026-03-24T11:10:11,view,18
