user_id,timestamp,event_type,duration_seconds,date
u0166,2026-02-28 10:29:30,click,46,2026-02-28
u0027,2026-02-09 22:48:02,click,388,2026-02-09
u0037,2026-03-18 17:19:57,click,131,2026-03-18
u0091,2026-03-02 01:46:26,login,117,2026-03-02
u0165,2026-04-16 01:56:21,login,84,2026-04-16
u0095,2026-03-24 14:15:27,login,88,2026-03-24
u0135,2026-04-18 04:12:44,click,118,2026-04-18
u0024,2026-03-03 11:34:42,click,31,2026-03-03
u0159,2026-01-23 05:04:50,view,142,2026-01-23
u0140,2026-04-13 09:02:49,click,89,2026-04-13
u0073,2026-02-10 11:15:55,login,62,2026-02-10
u0188,2026-02-13 13:07:59,login,115,2026-02-13
u0093,2026-03-16 08:22:52,click,49,2026-03-16
u0147,2026-01-14 18:39:44,view,31,2026-01-14
u0098,2026-01-11 18:25:18,click,5,2026-01-11
u0078,2026-03-08 00:17:50,view,42,2026-03-08
u0139,2026-04-04 07:10:18,click,18,2026-04-04
u0030,2026-02-19 20:50:13,click,12,2026-02-19
u0192,2026-02-25 03:10:40,click,48,2026-02-25
u0121,2026-02-19 21:22:52,view,237,2026-02-19
u0081,2026-03-05 23:59:17,click,22,2026-03-05
u0133,2026-04-06 10:54:37,click,159,2026-04-06
u0023,2026-03-03 08:17:09,click,13,2026-03-03
u0159,2026-03-08 00:25:29,view,244,2026-03-08
u0040,2026-04-10 11:39:35,purchase,21,2026-04-10
u0162,2026-01-09 06:03:03,login,34,2026-01-09
u0187,2026-01-16 23:12:58,click,32,2026-01-16
u0173,2026-03-30 02:57:30,click,87,2026-03-30
u0161,2026-03-16 21:26:37,purchase,11,2026-03-16
u0063,2026-03-03 18:33:00,click,30,2026-03-03
u0013,2026-04-16 05:14:49,click,18,2026-04-16
u0091,2026-03-01 05:29:09,view,30,2026-03-01
u0001,2026-01-18 10:49:22,login,36,2026-01-18
u0095,2026-04-03 19:16:32,login,23,2026-04-03
u0114,2026-02-14 03:48:58,click,297,2026-02-14
u0069,2026-01-23 22:06:18,click,125,2026-01-23
u0114,2026-01-23 05:36:59,purchase,184,2026-01-23
u0114,2026-04-11 03:52:33,click,62,2026-04-11
u0178,2026-03-22 01:31:33,click,80,2026-03-22
u0091,2026-01-19 10:41:04,view,179,2026-01-19
u0172,2026-04-09 09:52:41,purchase,8,2026-04-09
u0089,2026-03-03 22:33:49,view,87,2026-03-03
u0152,2026-02-14 18:25:29,purchase,24,2026-02-14
u0159,2026-02-17 15:00:44,click,193,2026-02-17
u0105,2026-02-26 11:24:34,click,8,2026-02-26
u0064,2026-04-16 01:08:14,click,34,2026-04-16
u0032,2026-04-30 19:55:15,click,70,2026-04-30
u0069,2026-02-26 17:54:52,view,68,2026-02-26
u0175,2026-01-27 09:45:38,view,612,2026-01-27
u0166,2026-02-23 02:34:52,click,184,2026-02-23
u0085,2026-03-28 00:24:18,view,58,2026-03-28
u0089,2026-02-13 02:05:56,login,42,2026-02-13
u0173,2026-01-06 07:58:07,view,13,2026-01-06
u0173,2026-03-19 04:03:30,purchase,216,2026-03-19
u0124,2026-04-21 00:30:29,purchase,69,2026-04-21
u0167,2026-04-12 03:57:09,view,94,2026-04-12
u0080,2026-04-03 05:38:43,view,346,2026-04-03
u0067,2026-02-28 06:58:20,view,100,2026-02-28
u0171,2026-04-22 22:58:09,purchase,16,2026-04-22
u0118,2026-01-19 12:34:24,purchase,273,2026-01-19
u0133,2026-04-10 13:03:00,purchase,140,2026-04-10
u0186,2026-02-26 11:20:45,purchase,50,2026-02-26
u0110,2026-03-13 19:40:19,view,150,2026-03-13
u0133,2026-02-06 02:07:01,click,64,2026-02-06
u0059,2026-02-13 13:49:02,click,7,2026-02-13
u0157,2026-04-14 11:41:30,click,106,2026-04-14
u0049,2026-01-29 14:31:19,login,16,2026-01-29
u0135,2026-02-28 13:53:55,view,26,2026-02-28
u0060,2026-02-03 15:45:44,login,50,2026-02-03
u0009,2026-01-21 23:42:23,click,6,2026-01-21
u0179,2026-01-28 13:59:16,purchase,51,2026-01-28
u0073,2026-04-26 07:17:18,login,41,2026-04-26
u0077,2026-01-09 10:25:57,click,119,2026-01-09
u0009,2026-02-05 04:58:10,purchase,138,2026-02-05
u0094,2026-01-20 12:36:24,purchase,15,2026-01-20
u0137,2026-04-14 19:44:37,purchase,58,2026-04-14
u0179,2026-03-21 22:25:18,login,82,2026-03-21
u0074,2026-02-04 15:07:00,view,16,2026-02-04
u0100,2026-01-03 17:53:58,view,155,2026-01-03
u0183,2026-03-30 04:43:27,purchase,113,2026-03-30
u0103,2026-02-06 05:14:19,click,195,2026-02-06
u0155,2026-04-19 10:26:44,login,18,2026-04-19
u0148,2026-03-06 21:21:41,view,18,2026-03-06
u0098,2026-01-25 06:06:01,view,36,2026-01-25
u0045,2026-02-27 10:06:53,view,39,2026-02-27
u0055,2026-01-13 10:09:40,login,395,2026-01-13
u0196,2026-04-02 04:16:30,login,13,2026-04-02
u0003,2026-02-15 07:15:03,view,13,2026-02-15
u0005,2026-01-17 03:38:09,purchase,35,2026-01-17
u0103,2026-02-24 20:30:22,click,74,2026-02-24
